car_name,car_age,car_make,car_model,car_spec,engine,fuel_type,kilometers_driven,location,mileage,mileage_unit,owner_type,power,price,region,seats,transmission,year,car_category
AMBASSADOR CLASSIC,16,AMBASSADOR,CLASSIC,NOVA DIESEL,1489.0,Diesel,80000,Chennai,12.8,kmpl,Third,35.5,1.35,South,5.0,Manual,2003,Budget_Friendly
AUDI A3,5,AUDI,A3,35 TDI ATTRACTION,1968.0,Diesel,79271,Chennai,20.38,kmpl,First,143.0,16.5,South,5.0,Automatic,2014,Mid-Range
AUDI A3,2,AUDI,A3,35 TDI TECHNOLOGY,1968.0,Diesel,22000,Delhi,20.38,kmpl,Second,143.0,22.5,North,5.0,Automatic,2017,Luxury_Cars
AUDI A3,3,AUDI,A3,35 TDI PREMIUM,1968.0,Diesel,20003,Mumbai,20.38,kmpl,First,143.0,19.25,West,5.0,Automatic,2016,Mid-Range
AUDI A3,3,AUDI,A3,35 TDI PREMIUM PLUS,1968.0,Diesel,39000,Mumbai,20.38,kmpl,First,143.0,18.9,West,5.0,Automatic,2016,Mid-Range
AUDI A4,6,AUDI,A4,NEW 2.0 TDI MULTITRONIC,1968.0,Diesel,40670,Coimbatore,15.2,kmpl,Second,140.8,17.74,South,5.0,Automatic,2013,Mid-Range
AUDI A4,4,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,13648,Kochi,17.11,kmpl,First,174.33,21.43,South,5.0,Automatic,2015,Luxury_Cars
AUDI A4,7,AUDI,A4,2.0 TDI MULTITRONIC,1968.0,Diesel,65664,Jaipur,16.55,kmpl,First,140.0,13.5,North,5.0,Automatic,2012,Mid-Range
AUDI A4,9,AUDI,A4,3.0 TDI QUATTRO PREMIUM,2967.0,Diesel,30000,Kolkata,14.94,kmpl,First,241.4,9.8,East,5.0,Automatic,2010,Budget_Friendly
AUDI A4,4,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,48214,Coimbatore,17.11,kmpl,First,174.33,23.32,South,5.0,Automatic,2015,Luxury_Cars
AUDI A4,6,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,45979,Bangalore,17.11,kmpl,Second,174.33,19.5,South,5.0,Automatic,2013,Mid-Range
AUDI A4,8,AUDI,A4,2.0 TDI,1968.0,Diesel,46000,Delhi,16.55,kmpl,Second,147.51,10.99,North,5.0,Automatic,2011,Mid-Range
AUDI A4,7,AUDI,A4,2.0 TDI,1968.0,Diesel,47346,Kolkata,16.55,kmpl,First,147.51,14.5,East,5.0,Automatic,2012,Mid-Range
AUDI A4,8,AUDI,A4,2.0 TDI MULTITRONIC,1968.0,Diesel,59000,Ahmedabad,16.55,kmpl,First,140.0,12.5,West,5.0,Automatic,2011,Mid-Range
AUDI A4,10,AUDI,A4,2.0 TDI,1968.0,Diesel,34000,Kolkata,16.55,kmpl,First,147.51,9.95,East,5.0,Automatic,2009,Budget_Friendly
AUDI A4,4,AUDI,A4,35 TDI TECHNOLOGY,1968.0,Diesel,45000,Hyderabad,18.25,kmpl,First,187.74,25.0,South,5.0,Automatic,2015,Luxury_Cars
AUDI A4,5,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,77395,Kochi,17.11,kmpl,First,174.33,14.35,South,5.0,Automatic,2014,Mid-Range
AUDI A4,6,AUDI,A4,2.0 TDI,1968.0,Diesel,36000,Delhi,16.55,kmpl,Second,147.51,14.0,North,5.0,Automatic,2013,Mid-Range
AUDI A4,3,AUDI,A4,35 TDI PREMIUM,1968.0,Diesel,68193,Coimbatore,17.11,kmpl,First,174.33,24.74,South,5.0,Automatic,2016,Luxury_Cars
AUDI A4,5,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,21000,Bangalore,17.11,kmpl,First,174.33,24.5,South,5.0,Automatic,2014,Luxury_Cars
AUDI A4,7,AUDI,A4,NEW 2.0 TDI MULTITRONIC,1968.0,Diesel,60000,Delhi,15.2,kmpl,Second,140.8,10.35,North,5.0,Automatic,2012,Mid-Range
AUDI A4,7,AUDI,A4,3.0 TDI QUATTRO PREMIUM,2967.0,Diesel,46913,Coimbatore,14.94,kmpl,First,241.4,16.11,South,5.0,Automatic,2012,Mid-Range
AUDI A4,6,AUDI,A4,2.0 TDI,1968.0,Diesel,45330,Kochi,16.55,kmpl,First,147.51,13.19,South,5.0,Automatic,2013,Mid-Range
AUDI A4,5,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,70000,Chennai,17.11,kmpl,First,174.33,18.0,South,5.0,Automatic,2014,Mid-Range
AUDI A4,6,AUDI,A4,2.0 TDI,1968.0,Diesel,82002,Ahmedabad,16.55,kmpl,Second,147.51,17.5,West,5.0,Automatic,2013,Mid-Range
AUDI A4,7,AUDI,A4,NEW 2.0 TDI MULTITRONIC,1968.0,Diesel,44555,Delhi,15.2,kmpl,First,140.8,13.5,North,5.0,Automatic,2012,Mid-Range
AUDI A4,6,AUDI,A4,2.0 TDI,1968.0,Diesel,67000,Delhi,16.55,kmpl,First,147.51,14.5,North,5.0,Automatic,2013,Mid-Range
AUDI A4,5,AUDI,A4,2.0 TDI 177 BHP TECHNOLOGY EDITION,1968.0,Diesel,24000,Bangalore,17.11,kmpl,First,174.33,25.0,South,5.0,Automatic,2014,Luxury_Cars
AUDI A4,8,AUDI,A4,2.0 TDI MULTITRONIC,1968.0,Diesel,105000,Jaipur,16.55,kmpl,Second,140.0,14.5,North,5.0,Automatic,2011,Mid-Range
AUDI A4,6,AUDI,A4,2.0 TDI,1968.0,Diesel,45200,Mumbai,16.55,kmpl,First,147.51,13.5,West,5.0,Automatic,2013,Mid-Range
AUDI A4,4,AUDI,A4,35 TDI PREMIUM,1968.0,Diesel,50000,Hyderabad,17.11,kmpl,First,174.33,25.0,South,5.0,Automatic,2015,Luxury_Cars
AUDI A4,8,AUDI,A4,2.0 TFSI,1984.0,Petrol,38000,Mumbai,10.8,kmpl,First,132.0,12.0,West,5.0,Automatic,2011,Mid-Range
AUDI A4,5,AUDI,A4,2.0 TDI,1968.0,Diesel,60000,Hyderabad,16.55,kmpl,First,147.51,24.0,South,5.0,Automatic,2014,Luxury_Cars
AUDI A4,6,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,87000,Pune,17.11,kmpl,First,174.33,15.5,West,5.0,Automatic,2013,Mid-Range
AUDI A4,8,AUDI,A4,2.0 TDI,1968.0,Diesel,85000,Hyderabad,16.55,kmpl,First,147.51,13.95,South,5.0,Automatic,2011,Mid-Range
AUDI A4,3,AUDI,A4,35 TDI PREMIUM SPORT,1968.0,Diesel,11000,Chennai,17.11,kmpl,First,174.33,28.0,South,5.0,Automatic,2016,Luxury_Cars
AUDI A4,3,AUDI,A4,35 TDI PREMIUM,1968.0,Diesel,39644,Coimbatore,17.11,kmpl,First,174.33,25.75,South,5.0,Automatic,2016,Luxury_Cars
AUDI A4,4,AUDI,A4,2.0 TDI PREMIUM SPORT LIMITED EDITION,1968.0,Diesel,21979,Coimbatore,17.11,kmpl,First,174.33,23.45,South,5.0,Automatic,2015,Luxury_Cars
AUDI A4,5,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,57773,Coimbatore,17.11,kmpl,Second,174.33,20.04,South,5.0,Automatic,2014,Luxury_Cars
AUDI A4,9,AUDI,A4,1.8 TFSI,1781.0,Petrol,38001,Kolkata,12.3,kmpl,First,163.2,8.5,East,5.0,Automatic,2010,Budget_Friendly
AUDI A4,5,AUDI,A4,2.0 TDI MULTITRONIC,1968.0,Diesel,53000,Hyderabad,16.55,kmpl,First,140.0,20.5,South,5.0,Automatic,2014,Luxury_Cars
AUDI A4,4,AUDI,A4,2.0 TDI 177 BHP PREMIUM PLUS,1968.0,Diesel,32205,Coimbatore,17.11,kmpl,First,174.33,25.31,South,5.0,Automatic,2015,Luxury_Cars
AUDI A4,2,AUDI,A4,30 TFSI PREMIUM PLUS,1395.0,Petrol,61221,Kochi,17.84,kmpl,First,147.51,21.73,South,5.0,Automatic,2017,Luxury_Cars
AUDI A4,7,AUDI,A4,NEW 2.0 TDI MULTITRONIC,1968.0,Diesel,69000,Delhi,15.2,kmpl,Second,140.8,10.25,North,5.0,Automatic,2012,Mid-Range
